filename,package_manager,package_name,location,version
about-time,pip,about-time,/Users/steven/Library/Python/3.12/lib/python/site-packages,=4.2.1
aci-sdk,pip,aci-sdk,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.0.0b4
acres,pip,acres,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.5.0
affine,pip,affine,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.4.0
agentops,pip,agentops,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.3.26
aiodns,pip,aiodns,/Users/steven/Library/Python/3.12/lib/python/site-packages,=4.0.0
aiofiles,pip,aiofiles,/Users/steven/Library/Python/3.12/lib/python/site-packages,=24.1.0
aiohappyeyeballs,pip,aiohappyeyeballs,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.6.1
aiohttp,pip,aiohttp,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.10.11
aiohttp-retry,pip,aiohttp-retry,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.9.1
aiohttp_socks,pip,aiohttp_socks,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.11.0
aiolimiter,pip,aiolimiter,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.2.1
aiomysql,pip,aiomysql,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.3.2
aiosignal,pip,aiosignal,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.4.0
aiosqlite,pip,aiosqlite,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.20.0
alive-progress,pip,alive-progress,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.3.0
altair,pip,altair,/Users/steven/Library/Python/3.12/lib/python/site-packages,=6.1.0
amqp,pip,amqp,/Users/steven/Library/Python/3.12/lib/python/site-packages,=5.3.1
annotated-types,pip,annotated-types,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.7.0
anthropic,pip,anthropic,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.49.0
antlr4-python3-runtime,pip,antlr4-python3-runtime,/Users/steven/Library/Python/3.12/lib/python/site-packages,=4.13.2
anyio,pip,anyio,/Users/steven/Library/Python/3.12/lib/python/site-packages,=4.13.0
apify_client,pip,apify_client,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.12.2
apify_shared,pip,apify_shared,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.5.0
arabic-reshaper,pip,arabic-reshaper,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.0.1
arrow,pip,arrow,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.4.0
arxiv,pip,arxiv,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.4.1
arxiv2text,pip,arxiv2text,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.1.14
asgiref,pip,asgiref,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.11.1
asn1crypto,pip,asn1crypto,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.5.1
assemblyai,pip,assemblyai,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.45.5
astor,pip,astor,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.8.1
astroid,pip,astroid,/Users/steven/Library/Python/3.12/lib/python/site-packages,=4.0.1
async-timeout,pip,async-timeout,/Users/steven/Library/Python/3.12/lib/python/site-packages,=5.0.1
asyncio,pip,asyncio,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.4.3
attrs,pip,attrs,/Users/steven/Library/Python/3.12/lib/python/site-packages,=26.1.0
Authlib,pip,Authlib,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.6.7
autopep8,pip,autopep8,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.3.2
av,pip,av,/Users/steven/Library/Python/3.12/lib/python/site-packages,=15.1.0
azure-ai-documentintelligence,pip,azure-ai-documentintelligence,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.0.2
azure-ai-vision-imageanalysis,pip,azure-ai-vision-imageanalysis,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.0.0
azure-core,pip,azure-core,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.38.1
azure-identity,pip,azure-identity,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.25.2
azure-storage-blob,pip,azure-storage-blob,/Users/steven/Library/Python/3.12/lib/python/site-packages,=12.29.0
backoff,pip,backoff,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.2.1
banks,pip,banks,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.4.2
bcrypt,pip,bcrypt,/Users/steven/Library/Python/3.12/lib/python/site-packages,=4.2.0
beartype,pip,beartype,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.22.9
beautifulsoup4,pip,beautifulsoup4,/Users/steven/Library/Python/3.12/lib/python/site-packages,=4.14.3
bibtexparser,pip,bibtexparser,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.4.4
billiard,pip,billiard,/Users/steven/Library/Python/3.12/lib/python/site-packages,=4.2.4
black,pip,black,/Users/steven/Library/Python/3.12/lib/python/site-packages,=24.8.0
boto3,pip,boto3,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.43.8
botocore,pip,botocore,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.43.8
BTrees,pip,BTrees,/Users/steven/Library/Python/3.12/lib/python/site-packages,=6.3
build,pip,build,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.3.0
camel-ai,pip,camel-ai,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.2.90
canvasapi,pip,canvasapi,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.6.0
celery,pip,celery,/Users/steven/Library/Python/3.12/lib/python/site-packages,=5.4.0
certifi,pip,certifi,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2026.4.22
cffi,pip,cffi,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.0.0
cfgv,pip,cfgv,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.5.0
Chameleon,pip,Chameleon,/Users/steven/Library/Python/3.12/lib/python/site-packages,=4.6.0
chardet,pip,chardet,/Users/steven/Library/Python/3.12/lib/python/site-packages,=5.2.0
charset-normalizer,pip,charset-normalizer,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.4.7
chroma-hnswlib,pip,chroma-hnswlib,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.7.6
chromadb,pip,chromadb,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.6.3
chunkr-ai,pip,chunkr-ai,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.0.50
ci-info,pip,ci-info,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.4.0
claude-agent-sdk,pip,claude-agent-sdk,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.1.10
click,pip,click,/Users/steven/Library/Python/3.12/lib/python/site-packages,=8.3.1
click-default-group,pip,click-default-group,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.2.4
click-didyoumean,pip,click-didyoumean,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.3.1
click-plugins,pip,click-plugins,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.1.1.2
click-repl,pip,click-repl,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.3.0
cligj,pip,cligj,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.7.2
cloudpickle,pip,cloudpickle,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.1.2
cloudscraper,pip,cloudscraper,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.2.71
cobble,pip,cobble,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.1.4
cohere,pip,cohere,/Users/steven/Library/Python/3.12/lib/python/site-packages,=5.20.0
colorama,pip,colorama,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.4.6
coloredlogs,pip,coloredlogs,/Users/steven/Library/Python/3.12/lib/python/site-packages,=15.0.1
comm,pip,comm,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.2.3
commonmark,pip,commonmark,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.9.1
composio,pip,composio,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.9.3
