Filename,Extension,Category,File Size,Duration,Creation Date,Original Path,SHA256,Is Duplicate,Duplicate Of,Lines,Chars,Width,Height,DPI,Mode,Bitrate,Sample Rate
docs 30.py,.py,Code,6.40 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 30.py,,False,,207,6551,,,,,,
docs 45.py,.py,Code,6.40 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 45.py,,False,,208,6552,,,,,,
docs 4.py,.py,Code,6.35 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 4.py,,False,,202,6506,,,,,,
docs 55.py,.py,Code,86.00 B,,05-10-26,/Users/steven/scripts/clean/docs/docs 55.py,,False,,4,86,,,,,,
docs 71.py,.py,Code,5.53 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 71.py,,False,,189,5660,,,,,,
docs 51.py,.py,Code,11.63 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 51.py,,False,,418,11913,,,,,,
docs 14.py,.py,Code,86.00 B,,05-10-26,/Users/steven/scripts/clean/docs/docs 14.py,,False,,4,86,,,,,,
docs 20.py,.py,Code,6.35 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 20.py,,False,,202,6506,,,,,,
docs 34.py,.py,Code,6.50 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 34.py,,False,,214,6653,,,,,,
docs 65.py,.py,Code,6.46 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 65.py,,False,,209,6617,,,,,,
docs 24.py,.py,Code,6.40 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 24.py,,False,,207,6551,,,,,,
docs 10.py,.py,Code,6.36 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 10.py,,False,,206,6509,,,,,,
docs 41.py,.py,Code,6.40 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 41.py,,False,,208,6552,,,,,,
docs 35.py,.py,Code,6.50 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 35.py,,False,,214,6653,,,,,,
docs 50.py,.py,Code,6.40 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 50.py,,False,,208,6552,,,,,,
docs 25.py,.py,Code,6.40 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 25.py,,False,,207,6551,,,,,,
docs 64.py,.py,Code,6.40 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 64.py,,False,,208,6552,,,,,,
docs 11.py,.py,Code,86.00 B,,05-10-26,/Users/steven/scripts/clean/docs/docs 11.py,,False,,4,86,,,,,,
docs 40.py,.py,Code,6.40 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 40.py,,False,,208,6552,,,,,,
docs 31.py,.py,Code,6.50 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 31.py,,False,,214,6653,,,,,,
docs 60.py,.py,Code,6.30 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 60.py,,False,,201,6456,,,,,,
docs 54.py,.py,Code,6.40 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 54.py,,False,,208,6552,,,,,,
docs 44.py,.py,Code,6.40 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 44.py,,False,,208,6552,,,,,,
docs 5.py,.py,Code,10.09 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 5.py,,False,,345,10335,,,,,,
docs 15.py,.py,Code,86.00 B,,05-10-26,/Users/steven/scripts/clean/docs/docs 15.py,,False,,4,86,,,,,,
docs 70.py,.py,Code,6.30 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 70.py,,False,,201,6456,,,,,,
docs 21.py,.py,Code,6.35 KB,,05-10-26,/Users/steven/scripts/clean/docs/docs 21.py,,False,,202,6506,,,,,,
all_for_csv_20260414211652.py,.py,Code,18.16 KB,,05-10-26,/Users/steven/scripts/clean/.history/all_for_csv_20260414211652.py,,False,,494,18557,,,,,,
all_for_csv_20260414211656.py,.py,Code,18.09 KB,,05-10-26,/Users/steven/scripts/clean/.history/all_for_csv_20260414211656.py,,False,,493,18479,,,,,,
all_for_csv_20260413090402.py,.py,Code,18.01 KB,,05-10-26,/Users/steven/scripts/clean/.history/all_for_csv_20260413090402.py,,False,,486,18284,,,,,,
all_for_csv_20260414211615.py,.py,Code,18.17 KB,,05-10-26,/Users/steven/scripts/clean/.history/all_for_csv_20260414211615.py,,False,,490,18446,,,,,,
all_for_csv_20260414211619.py,.py,Code,17.99 KB,,05-10-26,/Users/steven/scripts/clean/.history/all_for_csv_20260414211619.py,,False,,491,18270,,,,,,
img 48.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 48.py,,False,,221,7119,,,,,,
img 19.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 19.py,,False,,221,7119,,,,,,
img 58.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 58.py,,False,,222,7120,,,,,,
img 102.py,.py,Code,3.11 KB,,05-10-26,/Users/steven/scripts/clean/img/img 102.py,,False,,108,3186,,,,,,
img 68.py,.py,Code,6.98 KB,,05-10-26,/Users/steven/scripts/clean/img/img 68.py,,False,,223,7147,,,,,,
img 39.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 39.py,,False,,222,7120,,,,,,
img 78.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 78.py,,False,,222,7120,,,,,,
img 29.py,.py,Code,21.42 KB,,05-10-26,/Users/steven/scripts/clean/img/img 29.py,,False,,646,21938,,,,,,
img 103.py,.py,Code,21.42 KB,,05-10-26,/Users/steven/scripts/clean/img/img 103.py,,False,,646,21938,,,,,,
img 69.py,.py,Code,1.18 KB,,05-10-26,/Users/steven/scripts/clean/img/img 69.py,,False,,32,1204,,,,,,
img 28.py,.py,Code,6.98 KB,,05-10-26,/Users/steven/scripts/clean/img/img 28.py,,False,,223,7147,,,,,,
img 79.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 79.py,,False,,222,7120,,,,,,
img 38.py,.py,Code,21.42 KB,,05-10-26,/Users/steven/scripts/clean/img/img 38.py,,False,,646,21938,,,,,,
img 18.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 18.py,,False,,221,7119,,,,,,
img 59.py,.py,Code,21.42 KB,,05-10-26,/Users/steven/scripts/clean/img/img 59.py,,False,,646,21938,,,,,,
img 49.py,.py,Code,21.42 KB,,05-10-26,/Users/steven/scripts/clean/img/img 49.py,,False,,646,21938,,,,,,
img 95.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 95.py,,False,,222,7120,,,,,,
img 66.py,.py,Code,21.42 KB,,05-10-26,/Users/steven/scripts/clean/img/img 66.py,,False,,646,21938,,,,,,
img 37.py,.py,Code,6.29 KB,,05-10-26,/Users/steven/scripts/clean/img/img 37.py,,False,,177,6438,,,,,,
img 52.py,.py,Code,6.98 KB,,05-10-26,/Users/steven/scripts/clean/img/img 52.py,,False,,223,7147,,,,,,
img 42.py,.py,Code,21.42 KB,,05-10-26,/Users/steven/scripts/clean/img/img 42.py,,False,,646,21938,,,,,,
img 27.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 27.py,,False,,221,7119,,,,,,
img 76.py,.py,Code,6.63 KB,,05-10-26,/Users/steven/scripts/clean/img/img 76.py,,False,,225,6786,,,,,,
img 13.py,.py,Code,6.96 KB,,05-10-26,/Users/steven/scripts/clean/img/img 13.py,,False,,229,7127,,,,,,
img 56.py,.py,Code,6.29 KB,,05-10-26,/Users/steven/scripts/clean/img/img 56.py,,False,,177,6438,,,,,,
img 85.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 85.py,,False,,222,7120,,,,,,
img 91.py,.py,Code,6.29 KB,,05-10-26,/Users/steven/scripts/clean/img/img 91.py,,False,,177,6438,,,,,,
img 4.py,.py,Code,8.88 KB,,05-10-26,/Users/steven/scripts/clean/img/img 4.py,,False,,288,9097,,,,,,
img 33.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 33.py,,False,,222,7120,,,,,,
img 62.py,.py,Code,21.42 KB,,05-10-26,/Users/steven/scripts/clean/img/img 62.py,,False,,646,21938,,,,,,
img 23.py,.py,Code,21.42 KB,,05-10-26,/Users/steven/scripts/clean/img/img 23.py,,False,,646,21938,,,,,,
img 72.py,.py,Code,22.57 KB,,05-10-26,/Users/steven/scripts/clean/img/img 72.py,,False,,685,23116,,,,,,
img 46.py,.py,Code,6.98 KB,,05-10-26,/Users/steven/scripts/clean/img/img 46.py,,False,,223,7147,,,,,,
img 81.py,.py,Code,5.58 KB,,05-10-26,/Users/steven/scripts/clean/img/img 81.py,,False,,219,5711,,,,,,
img 17.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 17.py,,False,,221,7119,,,,,,
img 57.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 57.py,,False,,222,7120,,,,,,
img 5.py,.py,Code,5.46 KB,,05-10-26,/Users/steven/scripts/clean/img/img 5.py,,False,,219,5591,,,,,,
img 90.py,.py,Code,6.26 KB,,05-10-26,/Users/steven/scripts/clean/img/img 90.py,,False,,176,6407,,,,,,
img 32.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 32.py,,False,,222,7120,,,,,,
img 63.py,.py,Code,22.57 KB,,05-10-26,/Users/steven/scripts/clean/img/img 63.py,,False,,685,23116,,,,,,
